
Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Stream ▲▼,Quota ▲▼,Category ▲▼,Seat Gender ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Remark ▲▼
2684,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,525662,632469,
2685,Round 1,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1248075,1366755,
2686,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,500725,863312,
2687,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Automobile Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,692108,988679,
2688,Round 1,"MAHATAMA GANDHI MISSION COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,250767,1233154,
2689,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,242006,278998,
2690,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,EWS(GL),Female Seats,344871,362857,
2691,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,105127,138039,
2692,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,905502,1270525,
2693,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1056990,1253936,
2694,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,152346,430980,
2695,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,224673,298345,
2696,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,410691,446337,
2697,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,523756,523756,
2698,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Automotion & Robotics,B.Tech,Home State,OPEN(GIRL),Female Seats,559582,723797,
2699,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,SC,Both Male and Female Seats,893230,893230,
2700,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,250538,256216,
2701,Round 1,"I.E.C. COLLEGE OF ENGINEERING & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1230507,1230507,
2702,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,185467,465737,
2703,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,422685,422685,
2704,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,986470,986470,
2705,Round 1,"DR. K.N. MODI INSTITUTE OF ENGG. & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,526700,812297,
2706,Round 1,"DR. K.N. MODI INSTITUTE OF ENGG. & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,1084142,1084142,
2707,Round 1,"B.B.S.COLLEGE OF ENGGINERING AND TECHNOLOGY,ALLAHABAD",Electrical & Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,848597,1186600,
2708,Round 1,"KRISHNA INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,581154,581154,
2709,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,637034,1412249,
2710,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,1277519,1372553,
2711,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,337001,402623,
2712,Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,675365,855812,
2713,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,ST,Both Male and Female Seats,806046,806046,
2714,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Mechanical Engineering,B.Tech,Home State,SC(Girl),Female Seats,653378,919504,
2715,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,380919,521510,
2716,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,803823,1367967,
2717,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,81401,406057,
2718,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,406462,588175,
2719,Round 1,"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,117058,376491,
2720,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,672675,901101,
2721,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science,B.Tech,Home State,OPEN,Both Male and Female Seats,556167,755659,
2722,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science,B.Tech,Home State,SC,Both Male and Female Seats,821666,993667,
2723,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,250194,549261,
2724,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,626720,721316,
2725,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Internet Of Things),B.Tech,All India,OPEN,Both Male and Female Seats,157342,708180,
2726,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,OPEN(GIRL),Female Seats,844212,1195983,
2727,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Civil Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,142995,142995,
2728,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,69175,69175,
2729,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Electrical Engineering,B.Tech,Home State,EWS(AF),Both Male and Female Seats,303763,303763,
2730,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,65403,69440,
2731,Round 1,"SHRI RAMMURTI SMARAK COLLEGE OF ENGG AND TECHNOLOGY,BAREILLY",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,929314,1200777,
2732,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,444146,444146,
2733,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,340779,942257,
2734,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Information Technology,B.Tech,Home State,EWS(AF),Both Male and Female Seats,335733,335733,
2735,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,148637,153900,
2736,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,129289,266065,
2737,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,BC,Both Male and Female Seats,158973,198128,
2738,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,110828,127827,
2739,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(FF),Both Male and Female Seats,1052434,1052434,
2740,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,603339,750528,
2741,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,621405,749908,
2742,Round 1,"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,Home State,SC,Both Male and Female Seats,861708,1013416,
2743,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,385401,453964,
2744,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,B.Tech,Home State,SC(Girl),Female Seats,569678,569678,
2745,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,186461,249468,
2746,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,449817,878132,
2747,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,118527,125253,
2748,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,84562,96489,
2749,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,82934,90489,
2750,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science,B.Tech,All India,OPEN,Both Male and Female Seats,153205,590148,
2751,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,555440,644165,
2752,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,322010,1077780,
2753,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,458323,1282951,
2754,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,507314,645981,
2755,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,114130,129443,
2756,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,539436,674711,
2757,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,ST,Both Male and Female Seats,550938,765687,
2758,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,Home State,BC(Girl),Female Seats,862787,935692,
2759,Round 1,"SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,BARABANKI",Artificial Intelligence And Machine Learning,B.Tech,All India,OPEN,Both Male and Female Seats,235613,1218228,
2760,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,474572,474572,
2761,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,345231,1103907,
2762,Round 1,"ALLENHOUSE INSTITUTE OF TECHNOLOGY,KANPUR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1166697,1166697,
2763,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,244505,285467,
2764,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,613119,848297,
2765,Round 1,"Bundelkhand University, Jhansi",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,386300,575292,
2766,Round 1,"Bundelkhand University, Jhansi",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,421163,848633,
2767,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,877600,930858,
2768,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,1157115,1157115,
2769,Round 1,"HINDUSTAN COLLEGE OF SCIENCE & TECHNOLOGY,MATHURA",Electrical & Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,792593,948454,
2770,Round 1,"ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,All India,OPEN,Both Male and Female Seats,427069,427069,
2771,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,504264,1157939,
2772,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,471585,471585,
2773,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,530403,749137,
2774,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,529875,529875,
2775,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,833400,922348,
2776,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(GL),Female Seats,824791,824791,
2777,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,409315,673712,
2778,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,All India,OPEN,Both Male and Female Seats,246332,435858,
2779,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,OPEN,Both Male and Female Seats,526685,795429,
2780,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,511039,781858,
2781,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,343200,490687,
2782,Round 1,"SETH VISHAMBHAR NATH INSTITUTE OF ENGG. & TECHNOLOGY,BARABANKI",Computer Science And Design,B.Tech,All India,OPEN,Both Male and Female Seats,1177225,1177225,
2783,Round 1,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,836350,836350,
2784,Round 1,"KASHI INSTITUTE OF TECHNOLOGY,VARANASI",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,1099614,1330729,
2785,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,121455,338584,
2786,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,218231,936936,
2787,Round 1,"DR. K.N. MODI INSTITUTE OF ENGG. & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,809346,892477,
2788,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,525400,1341193,
2789,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,520901,568553,
2790,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,155587,256430,
2791,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Civil Engineering,B.Tech,Home State,SC(AF),Both Male and Female Seats,918173,918173,
2792,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,141772,158573,
2793,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,132138,176360,
2794,Round 1,"LUCKNOW UNIVERSITY, LUCKNOW",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,330851,375339,
2795,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,647639,706712,
2796,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Electronics Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,352085,474476,
2797,Round 1,"RAJKIYA ENGINEERING COLLEGE, BASTI",Electronics Engineering,B.Tech,Home State,SC(Girl),Female Seats,1031106,1327183,
2798,Round 1,"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,172356,330039,
2799,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,587035,630941,
2800,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,831014,1194623,
2801,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,632939,691984,
2802,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,393768,451561,
2803,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Electronics and Communication Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,627252,627252,
2804,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Electronics and Communication Engineering,B.Tech,Home State,SC,Both Male and Female Seats,497717,791314,
2805,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science & Engineering (Artificial Intelligence & data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,258419,288104,
2806,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science & Engineering (Artificial Intelligence & data Science),B.Tech,Home State,SC(Girl),Female Seats,546207,1070098,
2807,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,236785,319035,
2808,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,438559,1262409,
2809,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,448904,467635,
2810,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,234705,284011,
2811,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,180332,227386,
2812,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,141026,183498,
2813,Round 1,"KUNWAR SATYA VEERA COLLEGE OF ENGG. & MANAGEMENT,BIJNAUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,129061,738618,
2814,Round 1,"KUNWAR SATYA VEERA COLLEGE OF ENGG. & MANAGEMENT,BIJNAUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,811606,1177061,
2815,Round 1,"KUNWAR SATYA VEERA COLLEGE OF ENGG. & MANAGEMENT,BIJNAUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,593214,899297,
2816,Round 1,"KUNWAR SATYA VEERA COLLEGE OF ENGG. & MANAGEMENT,BIJNAUR",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,990900,1393378,
2817,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,774292,914536,
2818,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1226558,1336656,
2819,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,158417,655842,
2820,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,359097,478194,
2821,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,137377,363254,
2822,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,582204,586716,
2823,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,424700,575911,
2824,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,735730,1134299,
2825,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,502646,502646,
2826,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,299013,464594,
2827,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,689419,689419,
2828,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,300981,330977,
2829,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,1064023,1103315,
2830,Round 1,"VISHVESHWARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,170673,691414,
2831,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,810580,1405515,
2832,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science & Engineering (Cyber Security),B.Tech,Home State,BC(Girl),Female Seats,1023482,1049592,
2833,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,Home State,BC,Both Male and Female Seats,811363,1091615,
2834,Round 1,"LUCKNOW MODEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,593846,615824,
